No.,ジャンル,日本語,タイ語読み,タイ語文字
41,家の中,郵便受け,tûu còt mǎay,ตู้จดหมาย
41,家の中,窓,nâa tàaŋ,หน้าต่าง
41,家の中,天井,phee daan,เพดาน
41,家の中,床,phɯ́ɯn,พื้น
41,家の中,壁,fǎa hɔ̂ɔŋ,ฝาห้อง
41,家の中,階段,kra day,กระได
41,家の中,裏口,pra tuu lǎŋ,ประตูหลัง
41,家の中,ガラス,kra còk,กระจก
41,家の中,カーテン,mâan,ม่าน
42,室内を整理する,家具,fəə níʔ cəə,เฟอร์นิเจอร์
42,室内を整理する,ベッド,tiaŋ,เตียง
42,室内を整理する,マットレス・敷布団,thîi nɔɔn,ที่นอน
42,室内を整理する,シーツ,phâa puu thîi nɔɔn,ผ้าปูที่นอน
42,室内を整理する,毛布・掛け布団,phâa hòm,ผ้าห่ม
42,室内を整理する,枕,mɔ̌ɔn,หมอน
42,室内を整理する,じゅうたん,phrom,พรม
42,室内を整理する,棚・タンス,tûu,ตู้
42,室内を整理する,洋服だんす,tûu sɯ̂a phâa,ตู้เสื้อผ้า
42,室内を整理する,本棚,tûu nǎŋ sɯ̌ɯ,ตู้หนังสือ
42,室内を整理する,食器棚,tûu wáy caan,ตู้ไว้จาน
42,室内を整理する,ソファー,soo faa,โซฟา
42,室内を整理する,食卓,tóʔ ʔaa hǎan,โต๊ะอาหาร
42,室内を整理する,花瓶,cɛɛ kan,แจกัน
42,室内を整理する,目覚まし時計,naa lí kaa plùk,นาฬิกาปลุก
42,室内を整理する,灰皿,thîi khìa bùʔ rìi,ที่เขี่ยบุหรี่
42,室内を整理する,ござ,sɯ̀a,เสื่อ
42,室内を整理する,散らかっている,rók,รก
42,室内を整理する,かたづける・しまう,kèp khɔ̌ɔŋ,เก็บของ
42,室内を整理する,ほこり,fùn,ฝุ่น
42,室内を整理する,仏壇,hîŋ phráʔ,หิ้งพระ
43,家の仕事,主婦,mɛ̂ɛ bâan,แม่บ้าน
43,家の仕事,掃除,tham khwaam sàʔ ʔàat,ทำความสะอาด
43,家の仕事,掃く,kwàat,กวาด
43,家の仕事,磨く,khàt,ขัด
43,家の仕事,拭く,chét,เช็ด
43,家の仕事,床などを拭く・こする,thǔu,ถู
43,家の仕事,皿洗いをする,láaŋ caan,ล้างจาน
43,家の仕事,洗濯する,sák phâa,ซักผ้า
43,家の仕事,粉石鹸,phǒŋ sák fɔ̂ɔk,ผงซักฟอก
43,家の仕事,洗濯物を干す,tàak phâa,ตากผ้า
43,家の仕事,ハンガー,máay khwɛ̌ɛn sɯ̂a,ไม้แขวนเสื้อ
43,家の仕事,懐中電灯,fay chǎay,ไฟฉาย
43,家の仕事,鍵,kun cɛɛ,กุญแจ
43,家の仕事,ハンコ,traa,ตรา
43,家の仕事,修理する,sɔ̂ɔm,ซ่อม
43,家の仕事,かなづち,khɔ́ɔn,ค้อน
43,家の仕事,釘,tàʔ puu,ตะปู
43,家の仕事,のこぎり,lɯ̂ay,เลื่อย
43,家の仕事,ドライバー,khǎy khuaŋ,ไขควง
43,家の仕事,引っ越しする,yáay bâan,ย้ายบ้าน
43,家の仕事,雑巾,phâa khîi ríw,ผ้าขี้ริ้ว
44,家庭の電気製品,電気・あかり,fay fáa,ไฟฟ้า
44,家庭の電気製品,洗濯機,khrɯ̂aŋ sák phâa,เครื่องซักผ้า
44,家庭の電気製品,電気がま,mɔ̂ɔ hǔŋ khâaw,หม้อหุงข้าว
44,家庭の電気製品,扇風機,phót lom,พ้ดลม
44,家庭の電気製品,エアコン,ʔɛɛ,แอร์
44,家庭の電気製品,ラジオ,wít thá yúʔ,วิทยุ
44,家庭の電気製品,テレビ,thoo rá thát,โทรทัศน์
44,家庭の電気製品,ドライヤー,khrɯ̂aŋ pàw phǒm,เครื่องเป่าผม
44,家庭の電気製品,電気スタンド,fay tâŋ tóʔ,ไฟตั้งโต๊ะ
44,家庭の電気製品,電気掃除機,khrɯ̂aŋ dùut fùn,เครื่องดูดฝุ่น
44,家庭の電気製品,冷蔵庫,tûu yen,ตู้เย็น
44,家庭の電気製品,電子レンジ,taw ʔòp may khroo wép,เตาอบไมโครเวฟ
44,家庭の電気製品,テープレコーダー,khrɯ̂aŋ ʔàt sǐaŋ,เครื่องอัดเสียง
44,家庭の電気製品,ビデオ,wii dii ʔoo,วีดีโอ
44,家庭の電気製品,ウォークマン,wɔ̂ɔk mɛɛn,วอล์กแมน
44,家庭の電気製品,コンセント,plák,ปลั๊ก
44,家庭の電気製品,スイッチ,sa wít,สวิตช์
44,家庭の電気製品,乾電池,thàan,ถ่าน
44,家庭の電気製品,電球,lɔ̀ɔt fay,หลอดไฟ
44,家庭の電気製品,蛍光灯,lɔ̀ɔt fay nii ʔɔɔn,หลอดไฟนีออน
44,家庭の電気製品,電気代,khâa fay,ค่าไฟ
45,毎日の食事,おなかがすいた,hǐw khâaw,หิวข้าว
45,毎日の食事,のどがかわく,hǐw náam,หิวน้ำ
45,毎日の食事,おなかがいっぱいの,ʔìm,อิ่ม
45,毎日の食事,おいしい,ʔà rɔ̀ɔy,อร่อย
45,毎日の食事,まずい,mây ʔà rɔ̀ɔy,ไม่อร่อย
45,毎日の食事,おいしそうな,nâa kin,น่ากิน
45,毎日の食事,朝食,ʔaa hǎan cháaw,อาหารเช้า
45,毎日の食事,昼食,ʔaa hǎan klaaŋ wan,อาหารกลางวัน
45,毎日の食事,夕食,ʔaa hǎan yen,อาหารเย็น
45,毎日の食事,間食,ʔaa hǎan wâaŋ,อาหารว่าง
45,毎日の食事,おかず,kàp khâaw,กับข้าว
45,毎日の食事,腐る,nâw,เน่า
45,毎日の食事,くさい,měn,เหม็น
45,毎日の食事,かむ,khíaw,เคี้ยว
45,毎日の食事,飲み込む,klɯɯn,กลืน
45,毎日の食事,なめる,lia,เลีย
45,毎日の食事,口に含む,ʔom,อม
45,毎日の食事,パン,kha nǒm paŋ,ขนมปัง
45,毎日の食事,麺、線,sên,เส้น
45,毎日の食事,お菓子,kha nǒm,ขนม
45,毎日の食事,よそう,tàk,ตัก
46,台所にあるもの,食器,khrɯ̂aŋ thûay chaam,เครื่องถ้วยชาม
46,台所にあるもの,皿,caan,จาน
46,台所にあるもの,どんぶり・深い皿,chaam,ชาม
46,台所にあるもの,コップ,kɛ̂ɛw,แก้ว
46,台所にあるもの,カップ・湯呑茶碗,thûay,ถ้วย
46,台所にあるもの,スプーン,chɔ́ɔn,ช้อน
46,台所にあるもの,フォーク,sɔ̂ɔm,ส้อม
46,台所にあるもの,はし,tàʔ kìap,ตะเกียบ
46,台所にあるもの,ポット,kra tìk náam,กระติกน้ำ
46,台所にあるもの,なべ・釜,mɔ̂ɔ,หม้อ
46,台所にあるもの,盆,thàat,ถาด
46,台所にあるもの,トースター,khrɯ̂aŋ pîŋ khà nǒm paŋ,เครื่องปิ้งขนมปัง
46,台所にあるもの,包丁,mîit tham khrua,มีดทำครัว
46,台所にあるもの,まな板,khǐaŋ,เขียง
46,台所にあるもの,やかん,kaa náam,กาน้ำ
46,台所にあるもの,フライパン,kra tháʔ,กระทะ
46,台所にあるもの,ふきん,phâa chét caan,ผ้าเช็ดจาน
46,台所にあるもの,ようじ,máay cîm fan,ไม้จิ้มฟัน
46,台所にあるもの,ガスレンジ,taw kɛ́ɛt,เตาแก๊ส
46,台所にあるもの,臼,khrók,ครก
46,台所にあるもの,ゴミ箱,thǎŋ khà yàʔ,ถังขยะ
47,料理を作る,（油で）揚げる,thɔ̂ɔt,ทอด
47,料理を作る,あぶる・焼く,pîŋ,ปิ้ง
47,料理を作る,蒸す,nɯ̂ŋ,นึ่ง
47,料理を作る,ゆでる、煮る,tôm,ต้ม
47,料理を作る,炒める,phàt,ผัด
47,料理を作る,焼く,yâaŋ,ย่าง
47,料理を作る,あえる,yam,ยำ
47,料理を作る,切る,hàn,หั่น
47,料理を作る,油であげる,ciaw,เจียว
47,料理を作る,お湯を通す,lûak,ลวก
47,料理を作る,混ぜる,phà sǒm,ผสม
47,料理を作る,火のよく通った,sùk,สุก
47,料理を作る,生の,dìp,ดิบ
47,料理を作る,スープ（西洋風の）,súp,ซุป
47,料理を作る,汁（タイ風の）,kɛɛŋ,แกง
47,料理を作る,チャーハン,khâaw phàt,ข้าวผัด
47,料理を作る,かゆ,khâaw tôm,ข้าวต้ม
47,料理を作る,もち米,khâaw nǐaw,ข้าวเหนียว
47,料理を作る,バター,nəəy,เนย
47,料理を作る,ソーセージ,sây krɔ̀ɔk,ไส้กรอก
47,料理を作る,ネーム,nɛ̌ɛm,แหนม
48,料理の材料,おつかいに行く,pay càay kàp khâaw,ไปจ่ายกับข้าว
48,料理の材料,肉・牛肉,nɯ́a,เนื้อ
48,料理の材料,たまご,khày,ไข่
48,料理の材料,野菜,phàk,ผัก
48,料理の材料,パクチー,phàk chii,ผักชี
48,料理の材料,マナーオ（ライム）,máʔ naaw,มะนาว
48,料理の材料,たまねぎ,hǔa hɔ̌ɔm yày,หัวหอมใหญ่
48,料理の材料,にんじん,khɛɛ rɔ̀ɔt,แครอท
48,料理の材料,白菜,phàk kàat,ผักกาด
48,料理の材料,だいこん,hǔa chay tháaw,หัวไชเท้า
48,料理の材料,もやし,thùa ŋɔ̂ɔk,ถั่วงอก
48,料理の材料,とうふ,tâw hûu,เต้าหู้
48,料理の材料,かぼちゃ,fák thɔɔŋ,ฟักทอง
48,料理の材料,青菜,phàk bûŋ,ผักบุ้ง
48,料理の材料,キャベツ,ka làm plii,กะหล่ำปลี
48,料理の材料,カリフラワー,dɔ̀ɔk ka làm,ดอกกะหล่ำ
48,料理の材料,ねぎ,tôn hɔ̌ɔm,ต้นหอม
48,料理の材料,きゅうり,tɛɛŋ kwaa,แตงกวา
48,料理の材料,トマト,máʔ khɯ̌a thêet,มะเขือเทศ
48,料理の材料,なす,máʔ khɯ̌a,มะเขือ
48,料理の材料,たけのこ,nɔ̀ɔ máay,หน่อไม้
49,調味料と味,調味料,khrɯ̂aŋ pruŋ ʔaa hǎan,เครื่องปรุงอาหาร
49,調味料と味,塩,klɯa,เกลือ
49,調味料と味,砂糖,nám taan,น้ำตาล
49,調味料と味,醤油,nám plaa,น้ำปลา
49,調味料と味,とうがらし,phrík,พริก
49,調味料と味,酢,nám sôm sǎay chú,น้ำส้มสายชุ
49,調味料と味,こしょう,phrík thay,พริกไทย
49,調味料と味,味の素,phǒŋ chuu rót,ผงชูรส
49,調味料と味,にんにく,kra thiam,กระเทียม
49,調味料と味,しょうが,khǐŋ,ขิง
49,調味料と味,辛い,phèt,เผ็ด
49,調味料と味,塩辛い,khem,เค็ม
49,調味料と味,うすい,cɯ̀ɯt,จืด
49,調味料と味,すっぱい,prîaw,เปรี้ยว
49,調味料と味,甘い,wǎan,หวาน
49,調味料と味,苦い,khǒm,ขม
49,調味料と味,（味が）濃い,kɛ̀ɛ / càt,แก่/จัด
49,調味料と味,（汁などが）濃い,khôn,ข้น
49,調味料と味,香ばしい,hɔ̌ɔm,หอม
49,調味料と味,味,rót,รส
49,調味料と味,味をみる,chim,ชิม
50,身じたくをする,身じたくをする・着飾る,tɛ̀ŋ tua,แต่งตัว
50,身じたくをする,化粧品,khrɯ̂aŋ sǎm ʔaaŋ,เครื่องสำอาง
50,身じたくをする,鏡台,tóʔ khrɯ̂aŋ pɛ̂ɛŋ,โต๊ะเครื่องแป้ง
50,身じたくをする,おしろい,pɛ̂ɛŋ,แป้ง
50,身じたくをする,口紅を塗る,thaa pàak,ทาปาก
50,身じたくをする,口紅,líp sa tìk,ลิปสติก
50,身じたくをする,爪切り,thîi tàt lép,ที่ตัดเล็บ
50,身じたくをする,マニキュアを塗る,thaa lép,ทาเล็บ
50,身じたくをする,髪を洗う,sàʔ phǒm,สระผม
50,身じたくをする,シャンプー,yaa sàʔ phǒm,ยาสระผม
50,身じたくをする,ブローする,dray rá phǒm,ไดรผม
50,身じたくをする,紙を切る,tàt phǒm,ตัดผม
50,身じたくをする,パーマをかける,dàt phǒm,ดัดผม
50,身じたくをする,ひげそり,mîit koon nùat,มีดโกนหนวด
50,身じたくをする,くし、くしを入れる,wǐi,หวี
50,身じたくをする,髪にくしを入れる,wǐi phǒm,หวีผม
50,身じたくをする,ブラシ,prɛɛŋ,แปรง
50,身じたくをする,タオル,phâa chét tua,ผ้าเช็ดตัว
50,身じたくをする,せっけん,sa bùu,สบู่
50,身じたくをする,歯磨き粉,yaa sǐi fan,ยาสีฟัน
50,身じたくをする,歯ブラシ,prɛɛŋ sǐi fan,แปรงสีฟัน
51,服を着る,上着・シャツ・ブラウス,sɯ̂a,เสื้อ
51,服を着る,衣服,sɯ̂a phâa,เสื้อผ้า
51,服を着る,タイ式の服,chút thay,ชุดไทย
51,服を着る,ズボン,kaaŋ keeŋ,กางเกง
51,服を着る,スカート,kra prooŋ,กระโปรง
51,服を着る,上着,sɯ̂a nɔ̂ɔk,เสื้อนอก
51,服を着る,ワイシャツ,sɯ̂a chə́ət,เสื้อเชิ้ต
51,服を着る,チョッキ・ベスト,sɯ̂a kák,เสื้อกั๊ก
51,服を着る,スーツ,sùut,สูท
51,服を着る,寝巻,chút nɔɔn,ชุดนอน
51,服を着る,ジーパン,kaaŋ keeŋ yiin,กางเกงยีน
51,服を着る,水着,chút ʔàap náam,ชุดอาบน้ำ
51,服を着る,着る・はく,sày,ใส่
51,服を着る,脱ぐ,thɔ̀ɔt,ถอด
51,服を着る,地味な,rîap,เรียบ
51,服を着る,サイズ・大きさ,khà nàat,ขนาด
51,服を着る,ゆるい・ダブダブの,lǔam,หลวม
51,服を着る,きつい,kháp,คับ
51,服を着る,ぴったり合う,phɔɔ dii,พอดี
51,服を着る,のびる,yɯ̂ɯt,ยืด
51,服を着る,縮む,hòt,หด
52,下着とアクセサリー,靴下,thǔŋ tháaw,ถุงเท้า
52,下着とアクセサリー,ストッキング,thǔŋ nɔ̂ɔŋ,ถุงน่อง
52,下着とアクセサリー,下着（ランジェリーなど）,sɯ̂a chán nay,เสื้อชั้นใน
52,下着とアクセサリー,下着（パンツ）,kaaŋ keeŋ nay,กางเกงใน
52,下着とアクセサリー,ブラジャー,yók soŋ,ยกทรง
52,下着とアクセサリー,タンクトップ,sɯ̂a klâam,เสื้อกล้าม
52,下着とアクセサリー,ベルト,khěm khàt,เข็มขัด
52,下着とアクセサリー,（ベルトなどを）しめる,rát,รัด
52,下着とアクセサリー,帽子,mùak,หมวก
52,下着とアクセサリー,リボン,boo,โบว์
52,下着とアクセサリー,腕時計,naa lí kaa khɔ̂ɔ mɯɯ,นาฬิกาข้อมือ
52,下着とアクセサリー,ネクタイ,nék thay,เน็คไท
52,下着とアクセサリー,ネクタイピン,khěm klàt nék thay,เข็มกลัดเน็คไท
52,下着とアクセサリー,ネックレス,sɔ̂ɔy khɔɔ,สร้อยคอ
52,下着とアクセサリー,スカーフ,phâa phan khɔɔ,ผ้าพันคอ
52,下着とアクセサリー,指輪,wɛ̌ɛn,แหวน
52,下着とアクセサリー,イヤリング,tûm hǔu,ตุ้มหู
52,下着とアクセサリー,ブレスレット,kam lay,กำไล
52,下着とアクセサリー,宝石類,khrɯ̂aŋ phét phlɔɔy,เครื่องเพชรพลอย
52,下着とアクセサリー,ハンカチ,phâa chét nâa,ผ้าเช็ดหน้า
52,下着とアクセサリー,香水,nám hɔ̌ɔm,น้ำหอม
53,裁縫,縫う,yép,เย็บ
53,裁縫,裁縫する,yép phâa,เย็บผ้า
53,裁縫,針,khěm,เข็ม
53,裁縫,糸,dâay,ด้าย
53,裁縫,ミシン,càk yép phâa,จักรเย็บผ้า
53,裁縫,服を編む,thàk sɯ̂a,ถักเสื้อ
53,裁縫,アイロンをかける,rîit phâa,รีดผ้า
53,裁縫,ボタン,kra dum,กระดุม
53,裁縫,チャック,síp,ซิป
53,裁縫,裏地,sáp nay,ซับใน
53,裁縫,えり,pòk,ปก
53,裁縫,そで,khɛ̌ɛn,แขน
53,裁縫,半袖シャツ,sɯ̂a khɛ̌ɛn sân,เสื้อแขนสั้น
53,裁縫,長袖シャツ,sɯ̂a khɛ̌ɛn yaaw,เสื้อแขนยาว
53,裁縫,布地,phâa,ผ้า
53,裁縫,絹,phâa mǎy,ผ้าไหม
53,裁縫,綿,phâa fâay,ผ้าฝ้าย
53,裁縫,革,nǎŋ,หนัง
53,裁縫,模様・柄,laay,ลาย
53,裁縫,畳む,pháp,พับ
53,裁縫,シワになる,yáp,ยับ
54,彩り,色,sǐi,สี
54,彩り,濃い,khêm,เข้ม
54,彩り,明るい,sa wàaŋ,สว่าง
54,彩り,暗い,mɯ̂ɯt,มืด
54,彩り,派手だ,chùt chàat,ฉุดฉาด
54,彩り,品がある、礼儀正しい,sùʔ phâap,สุภาพ
54,彩り,きちんとした,rîap rɔ́ɔy,เรียบร้อย
54,彩り,白,sǐi khǎaw,สีขาว
54,彩り,黒,sǐi dam,สีดำ
54,彩り,赤,sǐi dɛɛŋ,สีแดง
54,彩り,黄色,sǐi lɯ̌aŋ,สีเหลือง
54,彩り,青,sǐi nám ŋən,สีน้ำเงิน
54,彩り,緑,sǐi khǐaw,สีเขียว
54,彩り,茶色,sǐi nám taan,สีน้ำตาล
54,彩り,紫,sǐi mûaŋ,สีม่วง
54,彩り,灰色,sǐi thaw,สีเทา
54,彩り,水色,sǐi fáa,สีฟ้า
54,彩り,オレンジ色,sǐi sôm,สีส้ม
54,彩り,ピンク,sǐi chom phuu,สีชมพู
54,彩り,銀色,sǐi ŋən,สีเงิน
54,彩り,金色,sǐi thɔɔŋ,สีทอง
55,街へ出ましょう,大通り,thà nǒn,ถนน
55,街へ出ましょう,路地・ソイ,sɔɔy,ซอย
55,街へ出ましょう,歩道,fút bàat,ฟุตบาท
55,街へ出ましょう,ひっそりとした,ŋîap,เงียบ
55,街へ出ましょう,広場,sa nǎam,สนาม
55,街へ出ましょう,踏切,thaaŋ rót fay,ทางรถไฟ
55,街へ出ましょう,交差点・四つ角,sìi yɛ̂ɛk,สี่แยก
55,街へ出ましょう,三叉路,sǎam yɛ̂ɛk,สามแยก
55,街へ出ましょう,信号機,sǎn yaan fay,สัญญาณไฟ
55,街へ出ましょう,赤信号,fay dɛɛŋ,ไฟแดง
55,街へ出ましょう,青信号,fay khǐaw,ไฟเขียว
55,街へ出ましょう,橋,sàʔ phaan,สะพาน
55,街へ出ましょう,歩道橋・陸橋,sàʔ phaan lɔɔy,สะพานลอย
55,街へ出ましょう,通りを渡る,khâam thà nǒn,ข้ามถนน
55,街へ出ましょう,横断歩道,thaaŋ máa laay,ทางม้าลาย
55,街へ出ましょう,曲がる,líaw,เลี้ยว
55,街へ出ましょう,交番,pɔ̂ɔm tam rùat,ป้อมตำรวจ
55,街へ出ましょう,電話ボックス,tûu thoo rá sàp sǎa thaa rá náʔ,ตู้โทรศัพท์สาธารณะ
55,街へ出ましょう,公園,sǔan sǎa thaa rá náʔ,สวนสาธารณะ
55,街へ出ましょう,公衆便所,sûam sǎa thaa rá náʔ,ส้วมสาธารณะ
55,街へ出ましょう,中央分離帯,kɔ̀ʔ thà nǒn,เกาะถนน
56,駅で使う言葉,駅,sa thǎa nii rót fay,สถานีรถไฟ
56,駅で使う言葉,汽車・電車,rót fay,รถไฟ
56,駅で使う言葉,列車,khà buan rót,ขบวนรถ
56,駅で使う言葉,特急,rót dùan phíʔ sèet,รถด่วนพิเศษ
56,駅で使う言葉,急行,rót dùan,รถด่วน
56,駅で使う言葉,鈍行,rót tham má daa,รถธรรมดา
56,駅で使う言葉,食堂車,rót sa biaŋ,รถเสบียง
56,駅で使う言葉,寝台車,rót nɔɔn,รถนอน
56,駅で使う言葉,冷房車,rót ʔɛɛ,รถแอร์
56,駅で使う言葉,切符,tǔa,ตั๋ว
56,駅で使う言葉,切符売り場,thîi khǎay tǔa,ที่ขายตั๋ว
56,駅で使う言葉,片道,khǎa diaw,ขาเดียว
56,駅で使う言葉,往復,pay klàp,ไปกลับ
56,駅で使う言葉,改札口,thîi tan wá cà tǔa,ที่ตัรวจตั๋ว
56,駅で使う言葉,時刻表,taa raaŋ rót fay,ตารางรถไฟ
56,駅で使う言葉,乗り換える,plìan rót,เปลี่ยนรถ
56,駅で使う言葉,待合室,hɔ̂ɔŋ phák phûu dooy sǎan,ห้องพักผู้โดยสาร
56,駅で使う言葉,プラットフォーム,chaan chaa laa,ชานชาลา
56,駅で使う言葉,出発する,ʔɔ̀ɔk,ออก
56,駅で使う言葉,到着する,thɯ̌ŋ,ถึง
57,乗り物を利用する,タクシー,thɛ́k sîi,แท็กซี่
57,乗り物を利用する,トゥクトゥク,túk túk,ตุ๊ก ๆ
57,乗り物を利用する,ソンテオ・乗合タクシー,rót sɔ̌ɔŋ thɛ̌ɛw,รถสองแถว
57,乗り物を利用する,乗用車,rót kěŋ,รถเก๋ง
57,乗り物を利用する,マイカー,rót sùan tua,รถส่วนตัว
57,乗り物を利用する,路線バス,rót mee,รถเมล์
57,乗り物を利用する,停留所,pâay rót mee,ป้ายรถเมล์
57,乗り物を利用する,次の停留所,pâay nâa,ป้ายหน้า
57,乗り物を利用する,終点,plaay thaaŋ,ปลายทาง
57,乗り物を利用する,長距離バス,rót,รถทัาร์
57,乗り物を利用する,トラック,rót ban thúk,รถบรรทุก
57,乗り物を利用する,自転車,rót càk kra yaan,รถจักรยาน
57,乗り物を利用する,オートバイ,mɔɔ təə say,มอเตอร์ไซค์
57,乗り物を利用する,船,rɯa,เรือ
57,乗り物を利用する,渡し船,rɯa khâam fâak,เรือข้ามฟาก
57,乗り物を利用する,フェリー,rɯa naam,เรือขนาม
57,乗り物を利用する,運転手,khan khàp,คันขับ
57,乗り物を利用する,乗客,phûu dooy sǎan,ผู้โดยสาร
57,乗り物を利用する,運賃,khâa dooy sǎan,ค่าโดยสาร
57,乗り物を利用する,小銭,sèet sa taaŋ,เศษสตางค์
57,乗り物を利用する,地下鉄,rót tây din,รถใต้ดิน
58,車で走る,車を運転する,khàp rót,ขับรถ
58,車で走る,制限速度,khwaam rew kam nòt,ความเร็วกำหนด
58,車で走る,渋滞する,rót tìt,รถติด
58,車で走る,駐車場,thîi cɔ̀ɔt rót,ที่จอดรถ
58,車で走る,左折する,líaw sáay,เลี้ยวซ้าย
58,車で走る,右折する,líaw khwǎa,เลี้ยวขวา
58,車で走る,一方通行,wan wee,วันเวย์
58,車で走る,幹線道路,thaaŋ lǔaŋ,ทางหลวง
58,車で走る,高速道路,thaaŋ dùaŋ,ทางด่วง
58,車で走る,交通警官,tam rùat cà raa cɔɔn,ตำรวจจราจร
58,車で走る,中古車,rót cháy lɛ́ɛw,รถใช้แล้ว
58,車で走る,交通事故,ʔùʔ bàt tìʔ hèet,อุบัติเหตุ
58,車で走る,車線,leen,เลน
58,車で走る,追い越す,sɛɛŋ,แซง
58,車で走る,排気ガス,ʔay sǐa,ไอเสีย
58,車で走る,ガソリンスタンド,pám nám man,ปั๊มน้ำมัน
58,車で走る,ガソリンを満タンにする,təəm tem,เติมเต็มถ
58,車で走る,故障,rót sǐa,รถเสีย
58,車で走る,修理工場,ʔùu sɔ̂ɔm,อู่ซ่อม
58,車で走る,免許証,bay khàp khìi,ใบขับขี่
58,車で走る,国際免許証,bay khàp khìi naa naa châat,ใบขับขี่นานาชาติ
59,空港で使うことば,空港,sa nǎam bin,สนามบิน
59,空港で使うことば,旅行する,dəən thaaŋ,เดินทาง
59,空港で使うことば,観光する,thɔ̂ŋ thîaw,ท่องเที่ยว
59,空港で使うことば,旅行者,nák thîi ʔoŋ thîaw,นักที่องเที่ยว
59,空港で使うことば,パスポート,phaa sɔ̌ɔ sɔ̌ɔ,พาสส์ปอร์ต
59,空港で使うことば,ビザ,wii sâa,วีซ่า
59,空港で使うことば,航空券・チケット,tǔa khrɯ̂aŋ bin,ตั๋วเครื่องบิน
59,空港で使うことば,航空会社,sǎay kaan bin,สายการบิน
59,空港で使うことば,便・フライト,thîaw bin,เที่ยวบิน
59,空港で使うことば,予約する,cɔɔŋ,จอง
59,空港で使うことば,キャンセルする,yók lə̂ək,ยกเลิก
59,空港で使うことば,空席,thîi nâŋ wâaŋ,ที่นั่งว่าง
59,空港で使うことば,満席,thîi nâŋ tem,ที่นั่งเต็ม
59,空港で使うことば,国際線,sǎay rá wàaŋ pra thêet,สายระหว่างประเทศ
59,空港で使うことば,国内線,sǎay phaay nay pra thêet,สายภายในประเทศ
59,空港で使うことば,旅行カバン,kra pǎw dəən thaaŋ,กระเป๋าเดินทาง
59,空港で使うことば,ツアー会社,bɔɔ rí sàt thua,บริษัททัวร์
59,空港で使うことば,免税品店,ráan plɔ̀ɔt phay,ร้านปลอดภัย
59,空港で使うことば,税関,dàan sǔn lá kaa kɔɔn,ด่านศุลกากร
59,空港で使うことば,リコンファーム,rii khɔɔn fəə,รีคอนเฟอร์ม
59,空港で使うことば,安全な,plɔ̀ɔt phay,ปลอดภัย
60,機内で使うことば,飛行機,sa nǎam bin,สนามบิน
60,機内で使うことば,離陸する,khrɯ̂aŋ bin khɯ̂n,เครื่องบินขึ้น
60,機内で使うことば,着陸する,khrɯ̂aŋ bin loŋ,เครื่องบินลง
60,機内で使うことば,座席,thîi nâŋ,ที่นั่ง
60,機内で使うことば,座席番号,bəə thîi nâŋ,เบอร์ที่นั่ง
60,機内で使うことば,窓側の座席,thîi nâŋ rim nâa tàaŋ,ที่นั่งริมหน้าต่าง
60,機内で使うことば,隣の席,thîi nâŋ,ที่นั่ง
60,機内で使うことば,ファーストクラス,thîi nâŋ chán nɯ̀ŋ,ที่นั่งชั้นหนึ่ง
60,機内で使うことば,タバコ,bu rìi,บุหรี่
60,機内で使うことば,禁煙席,thîi nâŋ hâam sùup bùʔ rìi,ที่นั่งห้ามสูบบุหรี่
60,機内で使うことば,サービス,bɔɔ ríʔ kaan,บริการ
60,機内で使うことば,おしぼり,phâa yen,ผ้าเย็น
60,機内で使うことば,おみやげ,khɔ̌ɔŋ fàak,ของฝาก
60,機内で使うことば,税金を払う,sǐa phaa sǐi,เสียภาษี
60,機内で使うことば,申告する,cɛ̂ɛŋ,แจ้ง
60,機内で使うことば,国籍,sǎn châat,สัญชาติ
60,機内で使うことば,記入する,krɔ̀ɔk,กรอก
60,機内で使うことば,違法な,phìt kòt mǎay,ผิดกฎหมาย
60,機内で使うことば,パイロット,nák bin,นักบิน
60,機内で使うことば,機長,kàp tan,กัปตัน
60,機内で使うことば,エアホステス,ʔɛɛ hóot sa tèet,แอร์โฮสเตสส์
61,ホテルに泊まる,ホテル,rooŋ rɛɛm,โรงแรม
61,ホテルに泊まる,泊まる・宿泊する,phák,พัก
61,ホテルに泊まる,ロビー,lɔ̂ɔp bîi,ลอบบี้
61,ホテルに泊まる,フロント,rii see phá chân,รีเซพชั่น
61,ホテルに泊まる,チェックイン,chék ʔin,เช็คอิน
61,ホテルに泊まる,チェックアウト,chék ʔaw,เช็คเอาท์
61,ホテルに泊まる,客室・ルーム,hɔ̂ɔŋ phák,ห้องพัก
61,ホテルに泊まる,シングルルーム,hɔ̂ɔŋ dìaw,ห้องเดี่ยว
61,ホテルに泊まる,ツインルーム,hɔ̂ɔŋ khûu,ห้องคู่
61,ホテルに泊まる,満室,hɔ̂ɔŋ tem,ห้องเต็ม
61,ホテルに泊まる,空室,hɔ̂ɔŋ wâaŋ,ห้องว่าง
61,ホテルに泊まる,部屋代・宿泊料,khâa phák,ค่าพัก
61,ホテルに泊まる,前払い,càay lûaŋ nâa,จ่ายล่วงหน้า
61,ホテルに泊まる,計算書・請求書,bin,บิลล์
61,ホテルに泊まる,領収書,bay sèt,ใบเสร็จ
61,ホテルに泊まる,ランドリーサービス,bɔɔ ríʔ kaan sák phâa,บริการซักผ้า
61,ホテルに泊まる,食堂,hɔ̂ɔŋ ʔaa hǎan,ห้องอาหาร
